,URBRUR,REGION,AGE,edu_attainment,occupation,gender,length_withoutfood,length_withoutcleanh20,length_withoutmeds,length_withoutfuel,length_withoutcash,frequency_sansfood,living_conditions,remittances,compare_conditions,econ_conditions,Qwelfare
246,2,304,40,3,0,2,1,0,2,0,0,3,1,0,1,1,0
247,2,304,26,3,1,1,1,1,0,2,2,5,1,0,3,1,0.5
248,2,304,56,3,0,2,2,2,1,1,3,5,2,0,1,2,0.5
249,2,304,36,8,1,1,1,2,1,1,2,3,3,0,3,2,0.5
250,2,304,47,3,0,2,1,0,0,0,1,7,2,0,4,2,0
251,2,304,40,5,1,1,2,2,0,0,1,5,3,0,3,1,0
252,2,304,21,5,0,2,1,1,2,1,2,5,2,0,3,2,0
253,2,304,28,5,0,1,2,1,1,1,0,3,2,0,2,1,0.5
254,2,304,63,12,0,1,0,1,1,0,1,7,4,0,4,1,0
255,2,304,38,5,0,2,1,2,0,0,1,3,1,0,2,1,0.5
256,2,304,29,8,1,2,1,0,1,0,2,3,2,0,3,2,0
257,2,304,24,8,0,1,1,2,0,0,2,4,4,0,4,2,0
258,2,304,23,8,0,2,1,2,0,0,0,4,4,0,3,1,0
259,2,304,25,5,1,1,1,0,0,0,0,7,2,0,3,2,0
260,2,304,24,12,1,2,1,1,1,0,1,7,2,0,2,1,0.5
261,2,304,76,8,1,1,0,0,0,0,1,7,1,1,1,1,0
262,2,304,47,3,0,2,1,2,1,0,3,5,1,0,1,9,0.5
263,2,304,65,8,0,1,1,2,2,0,2,5,1,0,2,1,0.5
264,1,304,55,14,1,2,0,0,0,0,0,7,4,0,5,3,0
265,1,304,53,12,1,1,0,0,0,0,0,7,2,0,4,2,0.5
266,1,304,30,16,1,2,0,0,0,0,0,7,3,0,3,2,0.5
267,1,304,22,14,1,2,0,0,0,0,1,7,4,0,3,3,0
268,1,304,50,8,1,1,0,0,1,0,1,7,1,0,1,3,0.5
269,1,304,31,14,1,1,0,0,0,0,1,7,3,0,4,4,0.5
270,1,304,24,14,1,2,0,0,0,0,0,7,4,0,3,2,0
271,1,304,30,8,0,1,0,0,0,0,1,7,3,0,9,1,0
272,1,304,27,5,1,1,1,1,1,0,1,7,2,0,3,2,0
273,1,304,21,8,0,2,1,0,2,0,1,3,2,0,2,1,0
274,1,304,59,3,0,1,1,0,2,2,2,5,1,0,3,1,0
275,1,304,40,5,0,2,3,3,1,1,3,5,1,0,1,4,0.75
276,1,304,61,3,0,2,1,0,1,0,2,3,2,0,3,2,0.5
277,1,304,73,3,0,1,2,1,1,2,2,5,2,0,3,1,0
278,1,304,22,8,1,2,1,0,1,2,1,5,1,0,3,1,0.5
279,1,304,28,5,1,1,1,1,1,1,3,5,1,0,1,1,0
280,1,304,34,3,0,2,3,0,0,3,3,5,2,0,4,1,0.5
