"","RESPNO","URBRUR","PROVINCE","DISTRICT","HHOLDSE1","HHOLDSE2","HHOLDSE3","HHOLDSE4","HHOLDSE5","HHOLDSE6","HHOLDSE7","PREVINT","CURRINT","CALLS","DATEINTR","STRTIME","Q1","Q2","Q3","Q4A","Q4B","Q5","Q6A","Q6B","Q7A","Q7B","Q8A","Q8B","Q8C","Q8D","Q8E","Q8F","Q9A","Q9B","Q9C","Q10","Q11","Q12","Q13","Q14A","Q14B","Q14C","Q15A","Q15B","Q15C","Q16","Q17","Q18A","Q18B","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q27","Q28A","Q28B","Q28C","Q28D","Q29","Q30","Q31A","Q31B","Q31C","Q32A","Q32A_KEN","Q32B","Q32C","Q32D","Q32E","Q32F","Q32G","Q33","Q34","Q35A","Q35PT1","Q35B","Q35PT2","Q35C","Q35PT3","Q36A","Q36B","Q36C","Q37","Q38","Q39","Q40","Q41","Q42","Q43A1","Q43A2","Q43B1","Q43B2","Q43C1","Q43C2","Q44A1","Q44A2","Q44B1","Q44B2","Q44C1","Q44C2","Q45","Q46","Q47","Q48","Q49","Q50","Q51","Q52A","Q52B","Q52C","Q52D","Q53A","Q53B","Q53C","Q53D","Q54A","Q54B","Q54C","Q54D","Q54E","Q54F","Q54G","Q55A","Q55B","Q55C","Q55D","Q55E","Q55F","Q55G","Q55H","Q55I","Q55J","Q55K","Q55M","Q56A","Q56B","Q56C","Q56D","Q56E","Q56F","Q56G","Q56H","Q56I","Q56J","Q57A","Q57B","Q57C","Q57D","Q57E","Q57F","Q58A","Q58B","Q58C","Q59","Q60","Q61","Q62A","Q62B","Q63PT1","Q63PT2","Q63PT3","Q64","Q65A","Q65B","Q65C","Q65D","Q65E","Q65F","Q65G","Q65H","Q65I","Q65J","Q65K","Q66","Q67A","Q67B","Q67C","Q67D","Q68A","Q68B","Q68C","Q69A_verb","Q69A_code","Q69B_verb","Q69B_code","Q70A","Q70B","Q70C","Q70D","Q71A","Q71B","Q71C","Q71D","Q71E","Q72A","Q72B","Q72C","Q73A","Q73B","Q73C","Q73D","Q73E","Q73F","Q73G","Q74A","Q74B","Q74C","Q74D","Q74E","Q74F","Q74G","Q75A","Q75B","Q75C","Q75D","Q75E","Q76A","Q76B","Q77A","Q77B","Q78A","Q78B","Q78C","Q78D","Q79","Q80A","Q80B","Q81","Q82","Q83","Q84A","Q84B","Q84C","Q84D","Q85","Q86","Q87","Q88A_KEN","Q88B_KEN","Q88C_KEN","Q88D_KEN","Q89A_KEN","Q89B_KEN","Q90","Q91","Q92","Q93A","Q93B","Q93C","Q93D","Q93E","Q93F","Q94","Q95","Q96A","Q96B","Q97","Q98","Q99","Q99A_KEN","Q99B_KEN","Q100","Q101","ENDTIME","LENGTH","Q102","Q103","Q104","Q105A","Q105B","Q105C","Q105D","Q105E","Q106","Q108A","Q108B","Q108C","Q108D","Q108E","Q108F","Q110","Q111","Q112","Q113","Q114","Q115","Q116A","Q116B","Q116C","Q116D","Q116E","Q116F","Q116G","Q116H","Q116I","Q116J","Q116K","Q117A","Q117B","Q118","withinwt"
"652","KEN1016",2,212,"MERU CENTRAL",997,997,997,997,997,997,997,1,2,1,2005-09-19,58620,21,1,204,2,4,2,4,4,4,4,2,1,2,1,3,0,0,0,0,4,4,4,4,4,4,2,4,0,0,3,2,1,1,1,1,1,4,4,1,4,1,1,2,2,0,2,5,7,1,3,2,0,2,0,0,0,3,0,0,1,2,"FREEDOM OF MOVEMENT",1,"NFA",996,"NFA",996,5,5,5,3,4,4,4,1,4,"DK",9,"DK",9,"CAN'T REMEMBER",1,"DK",9,"TWICE",3,"COURTS",3,3,3,3,2,1,1,1,5,5,4,4,3,3,1,3,5,2,2,5,4,4,4,3,0,2,2,1,0,1,0,1,2,2,2,0,1,2,2,2,1,1,2,1,1,1,7,0,0,0,0,3,3,3,1,1,0,1,2,1,4,7,2,4,4,2,2,3,4,4,4,2,3,3,1,3,2,3,2,4,3,2,"YES",2,"YES",1,2,4,2,4,1,4,3,4,4,7,7,7,7,7,7,7,7,7,7,2,0,1,1,2,0,2,2,2,2,2,2,3,3,2,2,3,3,0,1,204,4,2,0,3,0,2,1,1,1,1,201,2,1,2,2,4,2,7,0,4,6,0,1,0,0,0,0,1,2,2,2,1,2,201,1,7,19,2,62160,59,1,204,1,0,0,0,0,0,0,1,1,1,1,1,1,"KEN62",28,1,2,204,8,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1.162581576
"653","KEN0624",2,212,"KITUI",3,7,997,997,997,997,997,1,2,1,2005-09-08,54600,53,0,203,2,1,1,2,2,2,3,3,3,3,1,3,3,0,0,0,1,2,3,2,2,2,2,0,0,0,2,1,3,4,2,2,2,2,1,2,2,2,3,0,3,0,2,3,7,3,3,0,0,2,0,0,0,0,0,0,1,2,"VOTING",3,"FREE EXPRESSION OF FEELINGS",1,"NFA",996,4,2,2,3,1,4,2,2,3,"KIBAKI",2,"NZIONI",2,"DK",9,"DK",9,"DK",9,"DK",9,2,3,3,2,1,1,2,4,4,2,4,3,2,1,2,4,4,4,4,4,4,4,3,1,1,1,2,3,1,2,2,2,3,3,1,1,1,1,2,2,1,1,1,0,0,0,0,1,0,0,3,3,2,1,2,2,1,1,8,14,2,2,2,2,3,2,3,3,3,1,2,2,1,2,3,3,3,3,3,3,4,"YES",2,"YES",1,3,3,3,3,3,1,2,3,3,7,7,7,0,0,0,3,0,0,0,2,0,1,2,3,0,3,2,2,2,2,2,0,0,1,1,3,2,1,1,203,5,5,3,4,0,1,2,3,0,1,201,2,2,2,2,2,2,7,0,5,4,0,0,0,1,0,0,1,1,2,2,0,997,201,1,7,19,2,58500,65,1,203,1,0,0,0,0,0,0,1,1,1,2,1,1,"KEN51",26,2,1,203,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.162581576
"654","KEN0696",2,212,"MAKUENI",997,997,997,997,997,997,997,2,1,1,2005-09-15,37800,59,1,203,4,2,2,2,2,4,9,3,3,3,4,0,3,0,0,0,1,1,3,4,3,2,4,1,0,1,3,1,2,4,4,3,1,1,3,1,1,2,4,2,2,0,2,1,1,3,3,0,2,3,0,2,2,3,3,0,2,1,"DEVELOPMENT",5,"SELF RULE/IDEPENDENCE",9,"NFA",996,4,1,1,3,1,2,3,1,1,"KALEMBE NDILE",3,"MALUTI",3,"CANT REMEMBER",1,"NARC",3,"TWICE",3,"DK",9,4,2,3,3,1,1,1,4,4,2,2,0,2,2,0,4,4,4,4,4,4,4,3,1,3,1,1,0,3,1,3,1,0,3,0,1,1,1,1,2,1,1,1,1,0,0,2,1,0,1,3,3,2,1,4,2,1,1,14,17,3,2,3,3,1,2,3,3,3,1,1,3,2,1,3,2,3,2,3,2,3,"YES",2,"YES",1,3,3,3,3,2,2,3,3,3,7,7,7,2,3,2,2,0,3,2,2,0,2,0,2,0,2,2,2,2,2,2,0,1,2,2,2,2,1,1,203,4,4,0,5,0,3,1,2,1,1,201,3,2,2,2,4,2,7,3,3,4,1,1,0,0,0,0,1,1,2,2,0,997,201,1,7,1,1,41220,57,1,203,3,0,0,0,0,0,0,1,1,1,2,1,1,"KEN51",26,2,1,203,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.162581576
"655","KEN1275",2,214,"WAJIR",997,997,997,997,997,997,997,2,1,1,2005-09-28,51600,25,0,210,1,2,1,1,1,4,4,3,4,1,0,4,4,1,0,0,4,2,2,2,1,1,1,4,0,3,3,1,2,2,2,1,1,1,1,1,4,4,4,0,1,1,0,1,1,2,2,2,0,2,0,0,0,0,2,0,2,1,"FREEDOM AND GIVING VIEWS WITHOUT FEAR",1,"FREE AND FAIR",3,"NFA",996,1,1,1,3,1,4,1,4,1,"MOHAMED AHMED",3,"MOHAMED MOHAMED",3,"MOODY AWORI",3,"NARC",3,"TWICE",3,"HIGH COURT",3,2,3,1,3,1,1,1,5,5,4,4,1,0,3,3,4,4,1,4,3,4,4,0,1,0,0,0,3,0,0,0,0,9,2,2,2,3,3,3,3,3,3,0,0,2,0,3,0,3,3,3,3,3,1,2,0,0,0,13,17,3,0,1,1,1,1,3,3,2,1,1,1,1,4,1,1,1,1,1,1,1,"YES",2,"NO",2,1,4,1,4,1,1,1,3,2,7,7,7,3,0,2,0,0,3,0,2,0,2,1,0,0,0,3,2,3,2,2,1,3,0,0,3,3,0,0,210,5,5,3,3,0,1,1,1,0,0,997,7,1,1,3,1,1,1,4,200,5,1,1,0,0,0,0,1,0,2,2,0,997,206,1,7,13,1,54780,53,1,210,1,0,0,0,0,0,0,1,1,1,1,1,1,"KEN02",29,1,2,210,8,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0.553415503
"656","KEN0788",2,217,"BUTERE MUMIAS",997,997,997,997,997,997,997,1,2,1,2005-09-11,35640,38,1,202,4,4,3,3,3,9,9,1,1,0,0,2,2,0,0,0,5,3,2,9,3,2,2,3,0,0,1,0,9,2,9,3,2,2,1,3,3,3,5,0,2,0,0,1,1,3,1,1,0,1,0,0,0,3,0,0,1,3,"DK",999,"NFR",996,"NFR",996,4,9,2,1,2,5,2,3,2,"DAVID WERE",3,"RONALD",3,"DK",9,"DK",9,"THRICE",2,"DK",9,2,3,9,9,9,2,2,4,4,3,9,1,2,2,1,4,3,4,3,4,4,2,2,2,1,2,2,2,2,2,2,2,1,9,1,3,2,1,2,2,2,1,2,1,0,0,7,0,0,0,3,3,2,2,2,2,3,3,14,8,13,2,3,1,1,3,3,3,3,3,3,1,3,2,2,3,3,3,3,3,3,"YES",2,"YES",1,2,3,2,1,2,2,2,3,3,7,7,7,3,1,0,1,3,3,2,2,0,2,1,3,0,2,2,7,2,2,2,0,1,2,1,3,3,2,2,202,3,3,1,3,0,2,1,1,1,1,201,2,1,1,2,4,1,2,3,2,5,1,1,0,1,0,0,0,6,1,2,0,997,201,1,7,7,2,40920,88,1,4,3,0,0,0,0,0,2,2,2,1,1,2,1,"KEN40",34,1,1,201,9,1,1,9,1,0,9,1,1,1,1,1,1,0,1,1.157667662
"657","KEN1119",2,216,"WEST POKOT",6,997,997,997,997,997,997,2,1,1,2005-09-16,50040,30,1,211,3,2,2,3,3,3,3,3,2,3,0,4,3,1,3,1,2,2,2,2,2,1,1,4,0,0,2,1,2,2,2,2,2,2,3,4,2,2,3,2,2,0,2,1,1,3,2,1,2,2,1,1,0,1,0,2,2,3,"DK",999,"NFR",996,"NFR",996,2,1,2,3,2,2,2,3,2,"SAMWEL MOROTO",3,"LOPEYOI THOMAS",3,"MOODY AWORI",3,"NARC",3,"TWICE",3,"DK",9,2,2,2,2,3,2,2,2,3,3,3,3,3,2,1,2,2,3,4,3,3,3,2,1,2,2,1,1,1,0,2,3,3,2,2,1,0,1,1,2,2,1,1,2,2,0,1,2,3,2,3,2,3,2,1,2,1,1,8,17,7,1,1,1,1,1,2,1,2,4,1,2,3,4,3,3,2,3,2,3,3,"YES",2,"NO",2,1,4,1,3,1,2,2,3,2,7,7,7,2,2,1,1,2,1,2,2,0,2,1,2,1,1,2,2,2,4,2,0,1,-1,-1,3,2,0,0,211,5,4,3,3,0,3,3,2,0,1,206,3,1,1,9,2,1,2,2,4,5,1,1,0,0,0,0,1,1,1,0,0,997,206,2,1,1,1,53940,65,1,4,5,0,0,0,0,0,0,1,1,1,1,1,1,"KEN82",25,1,1,206,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.251873798
"658","KEN0397",2,215,"KISII CENTRAL",997,997,997,997,997,997,997,0,1,1,2005-09-09,45600,30,1,205,3,3,1,3,3,2,2,2,0,1,0,4,2,1,1,0,4,2,2,4,9,1,2,3,3,0,1,1,2,2,4,2,1,2,4,1,2,3,9,1,0,0,0,1,1,1,3,0,1,1,0,0,1,1,0,3,1,3,"DK",999,"NFR",996,"NFR",996,1,1,2,2,2,4,1,2,3,"JIMMY",3,"FLORENCE MORAA",3,"MOODY",3,"NARC",3,"ONCE",2,"PEOPLE",3,2,3,2,9,2,2,3,2,9,4,2,3,2,9,2,4,4,9,4,4,2,2,2,9,9,2,1,0,9,1,1,1,9,9,1,1,9,9,9,1,1,9,1,1,0,7,9,1,0,0,3,3,3,2,3,0,0,0,13,7,20,1,2,1,2,2,9,3,3,9,1,3,3,3,2,2,9,2,3,3,2,"YES",2,"NO",2,4,4,4,4,2,9,3,7,2,7,7,7,7,7,7,7,7,7,7,2,0,9,3,3,2,2,3,2,2,3,2,3,9,9,9,3,2,0,1,205,4,3,2,9,0,2,1,2,2,9,997,7,1,9,9,9,1,2,5,2,5,1,1,0,0,0,0,3,11,1,2,0,997,201,9,7,1,1,49800,70,1,4,4,0,0,0,0,0,1,2,1,1,2,2,2,"KEN23",30,2,2,201,8,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1.169642018
"659","KEN0969",2,210,"KIAMBU",3,997,997,997,997,997,997,2,1,1,2005-09-12,50040,38,1,200,4,3,4,5,4,5,5,0,1,0,0,1,2,2,3,1,5,5,3,1,4,3,3,4,4,4,3,2,5,4,1,5,5,5,1,1,1,5,4,1,2,0,0,1,1,2,2,0,2,2,0,3,0,0,0,1,1,1,"FREEDOM OF ELECTING OUR LEADERS TO VOTE",3,"EQUALITY REGARDLESS OF RACE UNDER THE LAW",6,"NFA",996,2,2,2,3,1,3,5,4,1,"PAUL MUITE",3,"ROGAN GICHINI",2,"MOODY AWORI",3,"NARC",3,"TWICE",3,"HIGH COURT",3,2,2,3,3,1,1,5,4,4,5,4,1,2,1,1,4,5,4,5,3,2,4,3,2,2,2,3,1,2,1,2,2,2,2,1,2,2,1,1,2,1,1,1,1,0,0,0,0,0,0,2,3,1,1,2,3,1,2,23,3,24,1,4,2,3,2,1,3,4,3,3,2,3,2,2,2,2,1,4,3,3,"YES",2,"NO",2,9,3,1,4,3,3,2,4,3,7,7,7,0,1,0,0,2,0,0,2,1,0,0,1,0,0,2,2,9,2,2,0,3,1,1,3,3,0,1,200,2,2,0,3,0,2,2,2,1,1,201,3,2,2,2,3,1,2,6,10,3,1,1,1,1,0,0,4,18,2,2,1,1,201,1,7,13,1,54960,82,1,4,2,0,0,0,0,0,0,1,1,1,1,1,1,"KEN64",26,1,2,204,8,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1.176131786
"660","KEN0908",2,210,"MURANGA",3,6,997,997,997,997,997,2,1,1,2005-09-07,54120,19,0,200,1,4,2,3,5,4,4,1,3,0,0,2,7,0,1,0,3,1,4,3,4,2,5,0,0,3,3,1,1,1,4,3,2,2,1,1,3,2,4,2,0,0,0,5,7,1,1,2,0,0,0,0,0,2,0,0,1,1,"CHOOSING ONE PERSON TO REPRESENT THEM IN PARLIAMENT",3,"NFR",996,"NFR",996,2,2,1,1,1,3,3,3,1,"KAMOTHO",3,"KAMAU",3,"MOODY AWORI",3,"NARC",3,"TWO",3,"AG",2,1,1,1,1,1,1,1,5,5,5,5,3,2,3,2,5,5,5,3,1,1,5,0,0,3,0,0,0,3,0,2,3,3,3,2,2,2,2,1,2,1,1,1,2,7,7,7,0,0,0,2,3,1,3,1,1,0,3,23,4,17,2,3,2,1,4,4,3,4,1,3,3,4,4,3,3,9,3,2,2,2,"YES",2,"YES",1,2,4,1,4,2,2,3,9,3,7,7,7,7,7,7,7,7,7,7,2,1,0,0,1,0,0,7,2,2,4,3,3,3,1,0,3,3,0,2,200,3,2,1,4,0,3,1,0,0,1,201,2,1,1,1,3,1,1,4,10,4,1,0,0,0,0,0,0,23,1,1,8,997,201,2,2,-1,1,58500,73,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,"KEN61",31,2,1,200,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.176131786
"661","KEN1160",2,216,"UASIN GISHU",2,997,997,997,997,997,997,1,2,1,2005-09-08,41400,24,0,206,1,2,4,4,4,4,4,0,0,0,1,1,1,0,1,0,3,1,3,1,2,2,1,3,0,0,2,0,3,9,3,3,1,1,4,4,1,3,3,1,0,0,0,6,7,2,1,1,1,2,0,0,0,2,0,0,1,1,"FREEDOM TO SPEAK",1,"NFR",996,"NFR",996,4,2,1,3,1,3,1,5,2,"WILLIAM RUTTO",3,"S. RONO",3,"MOODY",3,"DK",9,"DK",9,"MWANANCHI",2,9,3,2,3,1,1,3,2,4,4,2,9,1,9,1,4,4,9,4,2,4,2,3,3,3,3,0,3,0,3,3,2,2,3,1,0,0,0,0,0,9,0,0,0,7,7,7,0,0,0,3,9,1,1,2,1,3,3,4,1,3,1,1,1,2,1,3,3,3,2,2,2,3,3,4,4,2,3,3,3,3,"YES",2,"YES",1,2,3,2,3,2,2,3,3,3,7,7,7,7,7,7,7,7,7,7,2,1,0,0,1,0,0,2,2,2,2,2,3,3,3,2,3,3,2,3,206,9,9,3,3,0,3,3,3,1,0,997,7,1,1,9,1,1,2,3,5,5,0,0,0,1,1,0,4,2,3,3,1,5,206,2,-1,1,2,47340,99,1,4,1,0,0,0,0,0,0,1,1,1,1,1,1,"KEN81",27,2,2,201,8,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1.251873798
"662","KEN0986",2,210,"NYANDARUA",997,997,997,997,997,997,997,1,2,1,2005-09-15,60660,34,0,200,4,4,4,5,5,4,5,0,0,0,0,1,1,1,0,0,1,1,4,2,5,2,4,4,0,0,1,1,3,3,1,1,1,1,1,1,3,2,3,2,0,0,2,1,1,2,2,0,0,0,0,0,0,0,0,0,7,3,"DK",999,"NFA",996,"NFA",996,4,1,2,9,2,1,5,4,1,"MICHIRI GACHARA",3,"KBCR",1,"MOODY AWORI",3,"NARC",3,"10YRS TWICE",3,"MEMBER OF PARLIAMENT",2,1,9,9,9,1,1,1,3,4,4,4,0,2,0,1,5,4,3,5,9,4,4,3,3,3,2,3,0,3,1,3,3,9,9,1,9,9,9,9,9,1,1,1,1,0,0,0,0,0,0,2,3,2,2,2,1,9,9,8,13,16,2,4,2,1,2,3,3,4,3,9,3,3,4,1,2,9,9,4,3,3,"YES",2,"NO",2,2,3,2,3,3,3,3,4,3,7,7,7,0,0,0,0,3,0,0,2,1,0,0,2,0,0,2,2,9,2,2,0,1,2,2,3,3,0,1,200,2,1,9,5,0,2,1,1,0,1,201,3,2,9,9,3,1,1,2,4,5,1,1,0,0,0,0,1,24,1,1,1,10,201,1,7,1,2,65580,82,1,200,1,0,0,0,0,0,0,1,1,1,2,1,1,"KEN64",26,1,2,204,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.176131786
"663","KEN1084",2,212,"MERU SOUTH",997,997,997,997,997,997,997,1,1,1,2005-09-24,33360,43,1,204,4,3,4,4,4,4,4,0,0,0,0,1,0,1,0,0,1,5,4,5,4,3,1,4,4,3,3,2,1,4,2,1,1,5,1,1,5,4,4,2,2,0,2,1,1,2,2,0,2,2,2,1,1,2,0,0,2,1,"FREEDOM OF ASSOCIATION",1,"PEACEFULL NATION",4,"NFA",996,1,1,1,3,1,4,5,4,1,"PETKAY MIRITI",3,"MWENDA PHEINEN",3,"MOODY AWORI",3,"NARC",3,"TWICE",3,"PARLIAMENT",2,2,3,4,3,1,2,1,5,5,5,5,0,2,1,0,5,5,5,5,3,3,5,3,2,2,1,3,1,2,1,2,3,3,3,0,1,1,1,1,2,9,1,1,0,0,0,0,0,0,0,3,3,3,1,2,1,1,3,13,7,3,2,4,2,2,2,3,4,4,2,1,3,3,4,2,2,3,1,4,2,4,"YES",2,"NO",2,2,3,2,3,3,1,2,4,3,7,7,7,1,0,0,0,1,0,0,2,1,0,0,2,0,0,2,2,2,2,2,3,3,3,0,3,3,1,0,204,2,1,9,5,0,2,2,1,1,1,201,3,1,2,2,4,1,1,5,2,5,1,1,1,0,0,0,4,18,2,1,1,5,201,1,7,17,1,37380,67,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,"KEN64",26,1,2,204,8,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1.162581576
"664","KEN0363",2,215,"KURIA",6,6,6,997,997,997,997,2,1,1,2005-09-16,37200,19,0,819,1,1,2,3,3,1,1,0,0,0,0,3,0,3,0,0,2,3,4,3,2,1,4,4,2,1,3,1,1,3,1,1,1,1,5,4,4,3,3,0,0,0,0,5,7,0,0,0,0,0,0,0,0,2,2,0,1,1,"FREEDOM OF SPEECH",1,"FREEDOM OF MOVEMENT",1,"FREEDOM OF BUYING ANYTHING",1,1,1,1,3,1,4,1,1,1,"KISUKA MACHAGE",3,"KISAMBA",3,"MOODY AWORI",3,"NARC",3,"TWICE",3,"ATTORNEY GENERAL",2,1,4,4,2,3,1,1,5,5,5,5,1,2,0,0,4,5,3,5,4,2,4,2,1,3,1,2,1,3,3,3,1,3,3,1,2,1,1,2,2,2,2,2,0,7,7,7,7,0,0,3,3,3,1,2,1,0,0,13,16,20,1,3,3,1,2,2,2,3,2,2,3,2,4,3,9,3,2,3,3,3,"YES",2,"NO",2,2,4,2,4,1,9,1,4,4,7,7,7,7,7,7,7,7,7,7,2,1,0,0,2,0,0,2,2,2,2,2,3,3,3,2,3,3,1,1,214,4,4,2,5,0,2,3,1,0,1,201,3,1,3,3,3,1,0,3,4,5,1,1,0,0,0,0,0,2,0,0,1,3,201,9,7,999,1,40920,62,1,4,1,0,0,0,0,0,1,1,1,1,1,1,1,"KEN14",31,2,1,201,9,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1.169642018
"665","KEN1107",2,216,"WEST POKOT",2,2,997,997,997,997,997,2,1,1,2005-09-16,35280,25,0,211,1,1,4,4,4,4,4,1,0,3,0,0,0,3,3,3,1,1,5,4,1,1,1,0,0,0,0,0,2,2,1,1,1,1,1,3,5,5,1,2,2,0,0,1,6,0,0,0,0,0,0,0,0,2,2,0,2,2,"DK",999,"NFR",996,"NFR",996,5,1,1,3,1,1,1,3,3,"SAMWEL MOROTO",3,"THOMAS LOPEYOI",3,"MOODY AWORI",3,"NARC",3,"TWICE",3,"COMMON MAN",2,2,2,3,3,1,1,3,4,4,4,4,1,3,3,3,2,2,4,3,4,2,1,1,3,1,3,3,3,0,0,3,3,3,3,0,0,0,0,0,1,9,1,1,1,2,0,7,0,0,2,3,3,1,1,2,3,3,3,4,14,20,0,1,1,1,3,3,3,3,3,2,2,3,3,1,3,2,2,3,3,4,"YES",2,"NO",2,2,3,2,3,3,1,3,3,1,7,7,7,2,2,0,0,0,0,0,2,1,0,0,2,0,2,3,2,2,2,5,3,3,2,2,3,3,3,3,211,3,3,1,3,1,3,3,3,3,1,206,3,9,9,9,1,1,2,2,2,5,1,0,0,0,0,0,0,201,0,0,0,997,206,1,7,4,1,39540,71,1,4,4,0,0,0,0,0,2,1,1,1,1,1,1,"KEN81",27,2,2,201,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.251873798
"666","KEN1019",1,212,"ISIOLO",997,997,997,997,997,997,997,1,2,1,2005-09-20,32640,48,0,815,9,4,4,2,4,9,4,0,0,0,0,0,7,2,0,0,1,1,3,2,4,2,1,4,3,0,2,1,9,3,1,1,1,1,3,1,1,3,4,2,0,0,0,1,1,1,3,0,0,2,0,0,0,0,0,0,2,1,"GOOD GOVERNANCE",8,"NFA",996,"NFA",996,5,1,1,3,1,1,4,4,4,"KUTI",3,"SHEIK ISADIN MO",3,"MOODY AWORI",3,"NARC",3,"5YRS",2,"THE PEOPLE",2,1,4,3,3,1,1,1,4,4,4,4,1,2,9,0,5,5,4,5,4,5,5,3,3,3,2,2,3,3,3,3,3,3,3,9,9,1,1,1,0,1,9,1,0,0,0,0,0,0,0,3,3,1,1,2,1,1,1,9,3,17,2,4,1,1,1,3,3,4,1,2,2,3,4,3,3,3,9,4,3,3,"YES",2,"NO",2,3,3,3,3,1,1,3,3,3,7,7,7,0,0,0,0,2,1,9,2,1,0,0,3,0,0,2,2,2,2,2,3,3,2,2,3,3,1,9,218,2,2,1,5,1,3,3,3,3,1,206,3,2,9,9,2,1,2,1,12,5,0,1,0,0,0,0,1,24,2,0,1,3,206,2,2,1,2,36900,71,1,4,2,1,0,0,0,0,0,1,1,1,2,3,2,"KEN64",26,1,2,204,8,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0.543773639
"667","KEN1012",2,212,"MERU CENTRAL",997,997,997,997,997,997,997,1,2,1,2005-09-19,58740,40,1,204,4,3,3,4,4,4,4,2,0,1,3,4,0,1,0,0,1,1,3,2,4,2,1,4,0,0,0,0,9,9,2,1,2,2,1,1,2,2,3,2,0,0,2,1,2,2,2,0,0,0,0,0,0,0,0,0,7,3,"DK",999,"NFA",996,"NFA",996,2,1,1,9,2,3,5,4,2,"MWIRARIA",3,"DK",9," CANT REMEMBER",1,"DK",9,"DK",9,"DK",9,1,8,9,9,2,1,2,9,5,5,5,0,2,0,1,5,5,4,5,3,4,4,2,1,1,1,2,0,2,1,3,3,1,9,0,1,1,1,1,2,2,9,9,9,0,0,0,0,0,0,2,3,3,2,2,0,0,9,13,16,20,1,3,2,1,1,3,2,4,3,2,3,3,3,1,1,9,1,4,2,2,"YES",2,"NO",2,2,4,2,4,2,2,2,4,3,7,7,7,0,0,0,0,3,0,0,2,1,0,0,3,0,0,2,7,7,2,2,0,1,2,2,3,3,0,0,204,2,3,9,5,0,2,2,1,0,1,203,2,9,9,9,9,1,2,0,10,5,1,1,0,0,0,0,0,1,2,2,1,4,201,9,7,21,2,62580,64,1,204,3,0,0,0,0,0,0,1,1,1,1,1,1,"KEN64",26,1,2,204,8,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1.162581576
"668","KEN1011",2,212,"MERU CENTRAL",997,997,997,997,997,997,997,2,1,1,2005-09-19,63780,23,1,204,4,4,4,5,4,4,4,0,0,0,1,3,7,1,0,0,1,2,3,2,5,4,3,3,0,0,0,0,2,9,1,2,1,1,1,2,3,3,3,0,0,0,2,6,7,2,1,0,0,0,0,0,0,0,0,0,7,3,"DK",999,"NFA",996,"NFA",996,5,2,3,9,2,1,4,5,2,"DK",9,"DK",9,"DK",9,"KANU",2,"ONCE",2,"DK",9,9,8,9,9,2,1,1,9,4,4,2,0,2,9,0,4,4,4,4,9,3,3,3,1,1,1,2,0,3,3,3,3,9,9,9,1,1,1,1,2,1,9,0,9,7,7,7,7,7,0,1,3,3,2,3,9,9,0,16,13,996,1,4,3,2,2,3,4,4,4,9,3,3,2,1,1,4,9,4,3,2,"YES",2,"NO",2,2,3,2,3,1,4,2,7,3,7,7,7,7,7,7,7,7,7,7,2,1,0,0,3,0,0,2,9,7,2,2,3,3,2,1,3,3,0,0,204,4,3,9,5,0,2,2,2,2,1,201,1,9,9,9,9,2,7,2,5,4,1,1,0,0,0,0,1,1,1,0,0,997,201,1,7,1,1,68220,74,1,4,1,0,0,0,0,0,0,1,1,1,1,2,1,"KEN64",26,1,2,204,8,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1.162581576
